Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Sexo;Edad;Grado de urbanización;Periodo;Total
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poblada nivel intermedio;2024;1.777.141
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poblada nivel intermedio;2023;1.767.014
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poblada nivel intermedio;2022;1.750.160
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poblada nivel intermedio;2021;1.735.166
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poco poblada;2025;501.488
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poco poblada;2024;501.307
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poco poblada;2023;501.618
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poco poblada;2022;500.678
Total Nacional;01 Andalucía;;Hombres;Todas las edades;Área poco poblada;2021;500.002
Total Nacional;01 Andalucía;;Hombres;Menos de 16 años;Total;2025;663.113
